entry_id,occurred_at,compile_phase,provider,service,model,execution_mode,request_or_batch_id,input_tokens,output_tokens,cached_input_tokens,confirmed_cost_usd,unreconciled_upper_bound_usd,result,accounting_status,evidence,notes
COST-0011,2026-08-02T03:46:33Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEXxvgQc7YHbQxgj5tF,3797,932,0,0.016914,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0003_sonnet5_low.response.json,C0003 passed local validation
COST-0012,2026-08-02T03:46:43Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEYhP4ngRAxaucgZ1TN,4007,1516,0,0.023174,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0004_sonnet5_low.response.json,C0004 passed local validation
COST-0013,2026-08-02T03:46:58Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEZou1jVysK4yC1atqU,4251,3621,0,0.044712,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0005_sonnet5_low.response.json,C0005 passed local validation
COST-0014,2026-08-02T03:47:24Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEbmNkrzD2XhssSovUq,4310,4503,0,0.053650,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0006_sonnet5_low.response.json,C0006 passed local validation
COST-0015,2026-08-02T03:47:58Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEeDkKbFDWuZjoep5Q8,4263,2484,0,0.033366,,rejected_invalid_source_boundary,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/rejected-attempts/C0007-attempt-1/crossing_C0007_sonnet5_low.response.json,C0007 first attempt preserved and rejected by local grounding validation
COST-0016,2026-08-02T03:49:22Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEkRTShrJxkqbxZa482,4263,3759,0,0.046116,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0007_sonnet5_low.response.json,C0007 retry passed local validation
COST-0017,2026-08-02T03:49:51Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEnXokErx6FDrRwxJJj,4241,3130,0,0.039782,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0008_sonnet5_low.response.json,C0008 passed local validation
COST-0018,2026-08-02T03:50:14Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEpEQnvp9qCK2pVdu4W,4248,1681,0,0.025306,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0009_sonnet5_low.response.json,C0009 passed local validation
COST-0019,2026-08-02T03:50:27Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEqFAxZ9sjNa7RBKGpH,4409,5314,0,0.061958,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0010_sonnet5_low.response.json,C0010 passed local validation
COST-0020,2026-08-02T03:51:04Z,full_crossing,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddEswQxA6T2k2LjMfSB9,4294,3359,0,0.042178,,validated_candidate_chunk,provider_usage_confirmed,m050/extraction/runs/m050-crossing-direct-v08-20260802/raw/crossing-full/crossing_C0011_sonnet5_low.response.json,C0011 passed local validation
COST-0021,2026-08-02T03:58:27Z,table_retest,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddFSaqs7hSADrUUpqtFb,4002,598,0,0.013984,,unnecessary_wrong_chunk_mapping,provider_usage_confirmed,m050/extraction/runs/m050-crossing-table-retest-v09-20260802/raw/crossing-table-retest/crossing_C0003_sonnet5_low.response.json,C0003 was mistakenly selected for the 4¶2 species-table retest; retained for audit and not used in accepted composition
COST-0022,2026-08-02T03:58:34Z,table_retest,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddFT6FC2zhTu2upoGMu4,4468,2348,0,0.032416,,approved_capacity_table_retest,provider_usage_confirmed,m050/extraction/runs/m050-crossing-table-retest-v09-20260802/raw/crossing-table-retest/crossing_C0007_sonnet5_low.response.json,C0007 supplied the accepted 6¶2 capacity-table atom
COST-0023,2026-08-02T04:00:10Z,table_retest,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddFaBgJhA9TK8Bv2vyVw,4212,1996,0,0.028384,,approved_species_table_retest,provider_usage_confirmed,m050/extraction/runs/m050-crossing-species-table-retest-v10-20260802/raw/crossing-table-retest/crossing_C0004_sonnet5_low.response.json,C0004 supplied the three accepted 4¶2 species-table atoms
COST-0024,2026-08-02,pa_scope_calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddGLtMmcuzDF4kmnCDgc,4664,1631,0,0.025638,,rejected_pa_semantic_scope,provider_usage_confirmed,m050/extraction/runs/m050-pa-scope-calibration-v11-20260802/raw/pa_C0020_sonnet5_low.response.json,Rejected because expedition scale was assigned to Away.Crossing and constitutional Register mappings led with substantive paths
COST-0025,2026-08-02,pa_scope_calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddGYAd7uPvW4VfX8R85i,5318,1667,0,0.027306,,approved_pa_scope_calibration,provider_usage_confirmed,m050/extraction/runs/m050-pa-scope-calibration-v12-20260802/raw/pa_C0020_sonnet5_low.response.json,Passed grounding schema coverage status MSID and ontology review
COST-0026,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddGwLN9eZQ3Lgwdybr5h,5286,1696,0,0.027532,,rejected_semantic_profile_review,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v13-20260802/raw/pa-full/pa_C0001_sonnet5_low.response.json,Local validation passed but the interrupted run was rejected because the PA profile omitted Philosophy and Mode owners
COST-0027,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddGxQetaBPSYk5U1t8Tn,5323,3316,0,0.043806,,rejected_semantic_profile_review,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v13-20260802/raw/pa-full/pa_C0002_sonnet5_low.response.json,Local validation passed but the interrupted run was rejected because the PA profile omitted Philosophy and Mode owners
COST-0028,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddGze56MwL3umqVMBvpz,5324,3666,0,0.047308,,rejected_semantic_profile_review,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v13-20260802/raw/pa-full/pa_C0003_sonnet5_low.response.json,Local validation passed but semantic review found Home and Away Mode propositions assigned to substantive Register domains
COST-0029,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddH2qtoRQA7ax2r79FvA,5266,1461,0,0.025142,,rejected_grounding_and_profile_review,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v13-20260802/raw/pa-full/pa_C0004_sonnet5_low.response.json,Stopped the direct run after an ungrounded marker exposed the incomplete PA ownership profile
COST-0030,2026-08-02,pa_mode_calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddHXyew535WoqwDt4uvM,5853,3293,0,0.044636,,rejected_atomicity_review,provider_usage_confirmed,m050/extraction/runs/m050-pa-mode-calibration-v14-20260802/raw/pa_C0004_sonnet5_low.response.json,Corrected Philosophy and Mode ownership; rejected because one span combined separable claims and another began with an unresolved pronoun
COST-0031,2026-08-02,pa_mode_calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddHi6kr9JYLL13GeLj35,5979,1613,0,0.028088,,rejected_atomicity_and_markdown_review,provider_usage_confirmed,m050/extraction/runs/m050-pa-mode-calibration-v15-20260802/raw/pa_C0004_sonnet5_low.response.json,Rejected because the model over-combined independent sentences and captured two unbalanced closing Markdown delimiters
COST-0032,2026-08-02,pa_mode_calibration,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddHrANMqLbuFjffh7tm4,6203,3430,0,0.046706,,validated_semantics_pending_local_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-mode-calibration-v16-20260802/raw/pa_C0004_sonnet5_low.response.json,Semantically well-split response rejected by the new local check solely for unmatched edge-only Markdown wrappers; raw response retained for zero-call replay
COST-0033,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJ4aDtunYxANhgQdsyG,6223,592,0,0.018366,,validated_candidate_pending_replay_run,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v18-20260802/raw/pa-full/pa_C0001_sonnet5_low.response.json,C0001 passed local validation; retained for zero-call replay under the next snapshot
COST-0034,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJ57su333BoFVAuQtNX,6260,2226,0,0.034780,,rejected_marker_grounding_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v18-20260802/raw/pa-full/pa_C0002_sonnet5_low.response.json,Stopped on a marker that omitted inline Markdown delimiters; raw response retained for deterministic zero-call replay
COST-0035,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJSsWKf9ZZmmX7ZQyc2,6261,4085,0,0.053372,,rejected_structural_register_fields_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v19-20260802/raw/pa-full/pa_C0003_sonnet5_low.response.json,Grounded candidate retained for zero-call replay after semantic review found Register/operator fields on Home.Home and Architecture.Mode.Home owners
COST-0036,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJVJWY11BMCqS1FNLxj,6203,3419,0,0.046596,,validated_candidate_replayed,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v19-20260802/raw/pa-full/pa_C0004_sonnet5_low.response.json,C0004 grounded and semantically accepted after structural-field normalization
COST-0037,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJXEVVVRqheiMiDavU3,6041,3724,0,0.049322,,validated_candidate_replayed,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v19-20260802/raw/pa-full/pa_C0005_sonnet5_low.response.json,C0005 grounded and semantically accepted
COST-0038,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJZNEdcg4q6tg9wnay7,6336,2848,0,0.041152,,validated_candidate_replayed,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v19-20260802/raw/pa-full/pa_C0006_sonnet5_low.response.json,C0006 grounded and semantically accepted after structural-field normalization
COST-0039,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJawvTBZhgYSSZsVomP,6438,3316,0,0.046036,,rejected_ambiguous_boundary_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v19-20260802/raw/pa-full/pa_C0007_sonnet5_low.response.json,Grounded content retained for zero-call replay after review found an overlong repeated-q0 match and unresolved possessive pronoun context
COST-0040,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJq3yUnXXrabTo6DKgn,6349,2904,0,0.041738,,validated_candidate_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v21-20260802/raw/pa-full/pa_C0008_sonnet5_low.response.json,C0008 passed local and semantic review; retained for zero-call replay
COST-0041,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddJrgceV8kRoJ6HtTTNQ,6269,2391,0,0.036448,,rejected_cross_block_possessive_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v21-20260802/raw/pa-full/pa_C0009_sonnet5_low.response.json,C0009 stopped because a possessive referent lives in the immediately preceding block; raw response retained for zero-call replay under the cross-block-safe rule
COST-0042,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddKJDpKGNoRDCGnyvbRX,6199,1561,0,0.028008,,validated_candidate_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v22-20260802/raw/pa-full/pa_C0010_sonnet5_low.response.json,C0010 passed local and semantic review; retained for zero-call replay
COST-0043,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddKKAkYmWgKRTspuFLd1,6378,3650,0,0.049256,,validated_candidate_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v22-20260802/raw/pa-full/pa_C0011_sonnet5_low.response.json,C0011 passed semantic review; local replay will expand Together they to its same-block antecedents
COST-0044,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddKMRuB4dap12oL3oU4f,6058,2440,0,0.036516,,rejected_cross_block_deictic_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v22-20260802/raw/pa-full/pa_C0012_sonnet5_low.response.json,C0012 stopped on a block-initial deictic whose antecedent is in controlled prior-block context; raw response retained for zero-call replay
COST-0045,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddKY4AXfy1PTGQqvXwqP,6072,3961,0,0.051754,,rejected_supported_msid_status_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v23-20260802/raw/pa-full/pa_C0013_sonnet5_low.response.json,C0013 grounded content retained for zero-call replay after exact supported Pillar paths were incorrectly marked provisional
COST-0046,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddKaJYmqdApYZDeDfRPU,6129,5021,0,0.062468,,rejected_supported_msid_status_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v23-20260802/raw/pa-full/pa_C0014_sonnet5_low.response.json,C0014 grounded content retained for zero-call replay after exact supported Pillar and Cycle paths were incorrectly marked provisional; genuine Focus records remain review-required
COST-0047,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,,,,,,0.066564,interrupted_response_receipt_unavailable,usage_unavailable_unreconciled,m050/extraction/runs/m050-pa-direct-v23-20260802/requests/pa-full/pa_C0015_sonnet5_low.request.json,C0015 request was interrupted while awaiting response after a semantic control defect was found; charge is unreconciled and bounded by the frozen per-chunk ceiling
COST-0048,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddKp2ZV9Lb7dG2RktaZp,6116,2958,0,0.041812,,rejected_review_required_primary_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v24-20260802/raw/pa-full/pa_C0015_sonnet5_low.response.json,C0015 grounded content retained for zero-call replay after records used Review.Required primary despite an exact supported Architecture.Architecture authority scope
COST-0049,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,,,,,,0.066798,interrupted_response_receipt_unavailable,usage_unavailable_unreconciled,m050/extraction/runs/m050-pa-direct-v24-20260802/requests/pa-full/pa_C0016_sonnet5_low.request.json,C0016 request was interrupted while awaiting response after a semantic control defect was found; charge is unreconciled and bounded by the frozen per-chunk ceiling
COST-0050,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddKyehcqn2uVi8NjBZg8,6206,3179,0,0.044202,,validated_candidate_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v25-20260802/raw/pa-full/pa_C0016_sonnet5_low.response.json,C0016 passed local and semantic review; retained for zero-call replay
COST-0051,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddL1LNbqBpSQHqdD7rA5,6823,1992,0,0.033566,,rejected_apostrophe_grounding_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v25-20260802/raw/pa-full/pa_C0017_sonnet5_low.response.json,C0017 stopped because its marker used a straight apostrophe where the source uses a curly apostrophe; raw response retained for zero-call replay
COST-0052,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddL985eZ37wmVvQk9FrS,6435,2539,0,0.038260,,rejected_multi_block_source_range_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v26-20260802/raw/pa-full/pa_C0018_sonnet5_low.response.json,C0018 returned a valid combined table proposal spanning three adjacent owned coordinates; the local checker is being corrected and the saved response will be replayed at zero cost
COST-0053,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddLWeKum1QSwdPTRXuJ8,6243,2595,0,0.038436,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v28-20260802/raw/pa-full/pa_C0019_sonnet5_low.response.json,C0019 passed local schema grounding and semantic validation
COST-0054,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddLYGJPuZnsDT6LB5ESz,6255,2096,0,0.033470,,rejected_false_furniture_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v28-20260802/raw/pa-full/pa_C0020_sonnet5_low.response.json,C0020 exposed a false furniture classification for the Field Register table row; the saved response will be replayed after the deterministic fix
COST-0055,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddLjPiC4cdekZn2DnMDb,6356,3421,0,0.046922,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v30-20260802/raw/pa-full/pa_C0021_sonnet5_low.response.json,C0021 passed local schema grounding and semantic validation
COST-0056,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddLmJNXZ2YV2R5Vxdrsk,6505,5732,0,0.070330,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v30-20260802/raw/pa-full/pa_C0022_sonnet5_low.response.json,C0022 passed local schema grounding and semantic validation
COST-0057,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddLpRcvk2r57idsd8eQe,6079,3055,0,0.042708,,rejected_cross_block_marker_fresh_retry,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v30-20260802/raw/pa-full/pa_C0023_sonnet5_low.response.json,C0023 contained one substantive proposal whose q1 marker came from a later paragraph; a fresh call is required for this chunk while accepted prior chunks replay at zero cost
COST-0058,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddLyZDLHThSpHCWYT9gp,6079,3421,0,0.046368,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v31-20260802/raw/pa-full/pa_C0023_sonnet5_low.response.json,C0023 fresh retry passed local schema grounding and semantic validation with the substantive Home task record correctly grounded
COST-0059,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddM3vQereofmmBk9yeT4,6268,1956,0,0.032096,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v31-20260802/raw/pa-full/pa_C0024_sonnet5_low.response.json,C0024 passed local schema grounding and semantic validation
COST-0060,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddM54pT42e3bQn8D54Uf,6216,3907,0,0.051502,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v31-20260802/raw/pa-full/pa_C0025_sonnet5_low.response.json,C0025 passed local schema grounding and semantic validation
COST-0061,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddM7DDH9jQUQBqt1N826,6363,4541,0,0.058136,,validated_response_pending_msid_span_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v31-20260802/raw/pa-full/pa_C0026_sonnet5_low.response.json,C0026 response is grounded but local shortest-span matching began an MSID enumeration at a child prefix; saved response will replay after standalone-MSID boundary correction
COST-0062,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMLMyVFqC9Hh5N8EKqg,6469,3430,0,0.047238,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v32-20260802/raw/pa-full/pa_C0027_sonnet5_low.response.json,C0027 passed local schema grounding and semantic validation
COST-0063,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMNRe4Y1VSCjCMXztUz,6381,3773,0,0.050492,,rejected_markdown_bullet_marker_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v32-20260802/raw/pa-full/pa_C0028_sonnet5_low.response.json,C0028 collapsed a Markdown bullet boundary inside a grounded marker; saved response will replay after bullet-tolerant marker normalization
COST-0064,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMXRiGtr8cTu9iKmN7H,6347,2261,0,0.035304,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v33-20260802/raw/pa-full/pa_C0029_sonnet5_low.response.json,C0029 passed local schema grounding and semantic validation
COST-0065,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMYqrckjBawvrdpzjXo,6251,3258,0,0.045082,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v33-20260802/raw/pa-full/pa_C0030_sonnet5_low.response.json,C0030 passed local schema grounding semantic validation and its available Crossing pilot reference
COST-0066,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMad3zC8QGdr5cY6Yfs,6316,2821,0,0.040842,,rejected_semantic_owner_fresh_retry,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v33-20260802/raw/pa-full/pa_C0031_sonnet5_low.response.json,C0031 mechanically passed but assigned general species cultural metaphors to Away.Crossing based on section proximity; classification guidance tightened and a fresh chunk-only retry is required
COST-0067,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMjymRsq4EAbNaUhQC4,6409,2334,0,0.036158,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v34-20260802/raw/pa-full/pa_C0031_sonnet5_low.response.json,C0031 fresh retry correctly assigns general species cultural metaphors to Architecture.Architecture and passed local semantic review
COST-0068,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMppxz6dN3mEbYftjYc,6337,2997,0,0.042644,,validated_candidate,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v34-20260802/raw/pa-full/pa_C0032_sonnet5_low.response.json,C0032 passed local schema grounding and semantic validation
COST-0069,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMrdWiiZzmxypweUKsF,6437,3427,0,0.047144,,rejected_table_cell_marker_pending_replay,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v34-20260802/raw/pa-full/pa_C0033_sonnet5_low.response.json,C0033 rendered a Markdown table cell boundary as an em dash inside its marker; saved response will replay after table-boundary-tolerant marker normalization
COST-0070,2026-08-02,full_pa,Anthropic,Messages API,claude-sonnet-5,synchronous_single_call,msg_011CddMzRtCLeiG84aCcpqYg,6513,3244,0,0.045466,,rejected_semantic_owner_fresh_retry,provider_usage_confirmed,m050/extraction/runs/m050-pa-direct-v35-20260802/raw/pa-full/pa_C0034_sonnet5_low.response.json,C0034 mechanically passed but assigned the symmetric Home-and-Away pair definition to Home alone; guidance tightened and a fresh chunk-only retry is required
